Energy (eV),Shell,Element Number,Element Name
0.05430,Ka1,3,Li
0.10850,Ka1,4,Be
0.18330,Ka1,5,B
0.27700,Ka1,6,C
0.34130,La1,20,Ca
0.34130,La2,20,Ca
0.34490,LB1,20,Ca
0.39240,Ka1,7,N
0.39540,La1,21,Sc
0.39540,La2,21,Sc
0.39960,LB1,21,Sc
0.45220,La1,22,Ti
0.45220,La2,22,Ti
0.45840,LB1,22,Ti
0.51130,La1,23,V
0.51130,La2,23,V
0.51920,LB1,23,V
0.52490,Ka1,8,O
0.57280,La1,24,Cr
0.57280,La2,24,Cr
0.58280,LB1,24,Cr
0.63740,La1,25,Mn
0.63740,La2,25,Mn
0.64880,LB1,25,Mn
0.67680,Ka1,9,F
0.70500,La1,26,Fe
0.70500,La2,26,Fe
0.71850,LB1,26,Fe
0.77620,La1,27,Co
0.77620,La2,27,Co
0.79140,LB1,27,Co
0.83300,Ma1,57,La
0.84860,Ka1,10,Ne
0.84860,Ka2,10,Ne
0.85150,La1,28,Ni
0.85150,La2,28,Ni
0.86880,LB1,28,Ni
0.88300,Ma1,58,Ce
0.92900,Ma1,59,Pr
0.92970,La1,29,Cu
0.92970,La2,29,Cu
0.94980,LB1,29,Cu
0.97800,Ma1,60,Nd
1.01170,La1,30,Zn
1.01170,La2,30,Zn
1.03470,LB1,30,Zn
1.04098,Ka1,11,Na
1.04098,Ka2,11,Na
1.07110,KB1,11,Na
1.08100,Ma1,62,Sm
1.09792,La1,31,Ga
1.09792,La2,31,Ga
1.12480,LB1,31,Ga
1.13100,Ma1,63,Eu
1.18500,Ma1,64,Gd
1.18800,La1,32,Ge
1.18800,La2,32,Ge
1.21850,LB1,32,Ge
1.24000,Ma1,65,Tb
1.25360,Ka1,12,Mg
1.25360,Ka2,12,Mg
1.28200,La1,33,As
1.28200,La2,33,As
1.29300,Ma1,66,Dy
1.30220,KB1,12,Mg
1.31700,LB1,33,As
1.34800,Ma1,67,Ho
1.37910,La1,34,Se
1.37910,La2,34,Se
1.40600,Ma1,68,Er
1.41923,LB1,34,Se
1.46200,Ma1,69,Tm
1.48043,La1,35,Br
1.48043,La2,35,Br
1.48627,Ka2,13,Al
1.48670,Ka1,13,Al
1.52140,Ma1,70,Yb
1.52590,LB1,35,Br
1.55745,KB1,13,Al
1.58130,Ma1,71,Lu
1.58600,La1,36,Kr
1.58600,La2,36,Kr
1.63660,LB1,36,Kr
1.64460,Ma1,72,Hf
1.69256,La2,37,Rb
1.69413,La1,37,Rb
1.71000,Ma1,73,Ta
1.73938,Ka2,14,Si
1.73998,Ka1,14,Si
1.75217,LB1,37,Rb
1.77540,Ma1,74,W
1.80474,La2,38,Sr
1.80656,La1,38,Sr
1.83594,KB1,14,Si
1.84250,Ma1,75,Re
