BC679 Brick clay std ref material.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 0
0.46821, 0, 1.41421, 0.000215097
0.481046, 0, 1.41421, 0.000843881
0.493882, 0, 1.41421, 0.00188643
0.506717, 1, 1.73205, 0.00336931
0.519553, 6, 2.82843, 0.00524987
0.532389, 3, 2.23607, 0.00754573
0.545225, 4, 2.44949, 0.0102871
0.558061, 5, 2.64575, 0.0134241
0.570897, 6, 2.82843, 0.016946
0.583732, 3, 2.23607, 0.0208601
0.596568, 5, 2.64575, 0.0251126
0.609404, 6, 2.82843, 0.0297226
0.62224, 3, 2.23607, 0.0346368
0.635076, 3, 2.23607, 0.0398818
0.647911, 5, 2.64575, 0.0454293
0.660747, 1, 1.73205, 0.0512647
0.673583, 3, 2.23607, 0.0573965
0.686419, 4, 2.44949, 0.0637241
0.699255, 1, 1.73205, 0.0703036
0.71209, 7, 3, 0.0770534
0.724926, 3, 2.23607, 0.0840326
0.737762, 4, 2.44949, 0.091106
0.750598, 1, 1.73205, 0.098357
0.763434, 2, 2, 0.105626
0.77627, 2, 2, 0.113021
0.789105, 3, 2.23607, 0.120487
0.801941, 4, 2.44949, 0.128101
0.814777, 0, 1.41421, 0.135686
0.827613, 1, 1.73205, 0.143355
0.840449, 1, 1.73205, 0.150987
0.853284, 6, 2.82843, 0.158636
0.86612, 2, 2, 0.16635
0.878956, 3, 2.23607, 0.17402
0.891792, 2, 2, 0.181747
0.904628, 3, 2.23607, 0.189337
0.917464, 2, 2, 0.196927
0.930299, 1, 1.73205, 0.204468
0.943135, 1, 1.73205, 0.211989
0.955971, 6, 2.82843, 0.219413
0.968807, 0, 1.41421, 0.226805
0.981643, 3, 2.23607, 0.234144
0.994479, 2, 2, 0.241351
1.00731, 2, 2, 0.248541
1.02015, 2, 2, 0.25546
1.03299, 1, 1.73205, 0.262283
1.04582, 1, 1.73205, 0.268965
1.05866, 2, 2, 0.275614
1.07149, 1, 1.73205, 0.281986
1.08433, 4, 2.44949, 0.28825
1.09716, 1, 1.73205, 0.294339
1.11, 2, 2, 0.30023
1.12284, 3, 2.23607, 0.306047
1.13567, 0, 1.41421, 0.311492
1.14851, 1, 1.73205, 0.316771
1.16134, 3, 2.23607, 0.321985
1.17418, 1, 1.73205, 0.327144
1.18702, 3, 2.23607, 0.332296
1.19985, 3, 2.23607, 0.337142
1.21269, 4, 2.44949, 0.341848
1.22552, 0, 1.41421, 0.346509
1.23836, 1, 1.73205, 0.351161
1.25119, 2, 2, 0.355187
1.26403, 2, 2, 0.358905
1.27687, 0, 1.41421, 0.362476
1.2897, 1, 1.73205, 0.365982
1.30254, 3, 2.23607, 0.369504
1.31537, 1, 1.73205, 0.372549
1.32821, 1, 1.73205, 0.375304
1.34105, 4, 2.44949, 0.378068
1.35388, 4, 2.44949, 0.381264
1.36672, 1, 1.73205, 0.383992
1.37955, 0, 1.41421, 0.38673
1.39239, 1, 1.73205, 0.389846
1.40522, 0, 1.41421, 0.392278
1.41806, 2, 2, 0.394367
1.4309, 3, 2.23607, 0.395973
1.44373, 0, 1.41421, 0.397338
1.45657, 1, 1.73205, 0.398705
1.4694, 0, 1.41421, 0.400223
1.48224, 1, 1.73205, 0.401078
1.49508, 1, 1.73205, 0.401933
1.50791, 1, 1.73205, 0.403575
1.52075, 3, 2.23607, 0.404374
1.53358, 0, 1.41421, 0.405174
1.54642, 4, 2.44949, 0.40677
1.55925, 0, 1.41421, 0.407599
1.57209, 1, 1.73205, 0.408428
1.58493, 2, 2, 0.408347
1.59776, 2, 2, 0.407774
1.6106, 1, 1.73205, 0.407202
1.62343, 1, 1.73205, 0.407511
1.63627, 0, 1.41421, 0.406744
1.64911, 1, 1.73205, 0.405978
1.66194, 4, 2.44949, 0.406397
1.67478, 1, 1.73205, 0.405576
1.68761, 1, 1.73205, 0.404756
1.70045, 0, 1.41421, 0.405191
