lead spectrum.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 0
0.46821, 0, 1.41421, 3.00714e-006
0.481046, 0, 1.41421, 1.20286e-005
0.493882, 0, 1.41421, 2.70643e-005
0.506717, 0, 1.41421, 4.81142e-005
0.519553, 2, 2, 7.51785e-005
0.532389, 0, 1.41421, 0.000108257
0.545225, 0, 1.41421, 0.000146421
0.558061, 0, 1.41421, 0.000189094
0.570897, 0, 1.41421, 0.000233395
0.583732, 0, 1.41421, 0.000280267
0.596568, 1, 1.73205, 0.000327897
0.609404, 0, 1.41421, 0.000377374
0.62224, 1, 1.73205, 0.000428213
0.635076, 1, 1.73205, 0.000479437
0.647911, 3, 2.23607, 0.000527533
0.660747, 0, 1.41421, 0.00057479
0.673583, 1, 1.73205, 0.000617564
0.686419, 1, 1.73205, 0.000658517
0.699255, 0, 1.41421, 0.000696978
0.71209, 0, 1.41421, 0.000734579
0.724926, 1, 1.73205, 0.000765697
0.737762, 0, 1.41421, 0.000793662
0.750598, 0, 1.41421, 0.000816862
0.763434, 0, 1.41421, 0.000837731
0.77627, 1, 1.73205, 0.000854567
0.789105, 1, 1.73205, 0.000869404
0.801941, 0, 1.41421, 0.000878643
0.814777, 0, 1.41421, 0.000885061
0.827613, 0, 1.41421, 0.000887735
0.840449, 0, 1.41421, 0.000888401
0.853284, 0, 1.41421, 0.000885073
0.86612, 2, 2, 0.000879762
0.878956, 0, 1.41421, 0.000870571
0.891792, 1, 1.73205, 0.000859495
0.904628, 0, 1.41421, 0.000846131
0.917464, 0, 1.41421, 0.000831702
0.930299, 0, 1.41421, 0.000813831
0.943135, 0, 1.41421, 0.000794394
0.955971, 0, 1.41421, 0.000772316
0.968807, 0, 1.41421, 0.000749107
0.981643, 2, 2, 0.000724612
0.994479, 1, 1.73205, 0.000697621
1.00731, 0, 1.41421, 0.000669721
1.02015, 0, 1.41421, 0.000641257
1.03299, 0, 1.41421, 0.000611792
1.04582, 0, 1.41421, 0.000582231
1.05866, 0, 1.41421, 0.000552532
1.07149, 1, 1.73205, 0.000523188
1.08433, 0, 1.41421, 0.000493084
1.09716, 1, 1.73205, 0.000463117
1.11, 0, 1.41421, 0.000432332
1.12284, 0, 1.41421, 0.000401759
1.13567, 0, 1.41421, 0.000371901
1.14851, 1, 1.73205, 0.000342481
1.16134, 0, 1.41421, 0.000313931
1.17418, 2, 2, 0.000285486
1.18702, 0, 1.41421, 0.000257853
1.19985, 0, 1.41421, 0.000231625
1.21269, 0, 1.41421, 0.000206945
1.22552, 0, 1.41421, 0.000183173
1.23836, 0, 1.41421, 0.000160851
1.25119, 1, 1.73205, 0.000140465
1.26403, 0, 1.41421, 0.000120977
1.27687, 0, 1.41421, 0.000102945
1.2897, 0, 1.41421, 8.67652e-005
1.30254, 0, 1.41421, 7.16089e-005
1.31537, 1, 1.73205, 5.79063e-005
1.32821, 0, 1.41421, 4.59383e-005
1.34105, 0, 1.41421, 3.51107e-005
1.35388, 0, 1.41421, 2.57361e-005
1.36672, 1, 1.73205, 1.79842e-005
1.37955, 0, 1.41421, 1.1483e-005
1.39239, 0, 1.41421, 6.43404e-006
1.40522, 0, 1.41421, 2.90443e-006
1.41806, 0, 1.41421, 7.26107e-007
1.4309, 0, 1.41421, 0
1.44373, 0, 1.41421, 0
1.45657, 0, 1.41421, 0
1.4694, 0, 1.41421, 6.73376e-013
1.48224, 0, 1.41421, 2.57246e-012
1.49508, 0, 1.41421, 5.69865e-012
1.50791, 0, 1.41421, 1.02899e-011
1.52075, 1, 1.73205, 1.59287e-011
1.53358, 0, 1.41421, 2.27946e-011
1.54642, 0, 1.41421, 3.18222e-011
1.55925, 0, 1.41421, 4.09771e-011
1.57209, 0, 1.41421, 5.12879e-011
1.58493, 0, 1.41421, 5.92709e-011
1.59776, 0, 1.41421, 6.43457e-011
