9A Std ref soil 2709.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 0
0.46821, 0, 1.41421, 9.10874e-005
0.481046, 0, 1.41421, 0.000354175
0.493882, 0, 1.41421, 0.000789335
0.506717, 6, 2.82843, 0.00141411
0.519553, 8, 3.16228, 0.00219937
0.532389, 6, 2.82843, 0.00315734
0.545225, 4, 2.44949, 0.00431192
0.558061, 5, 2.64575, 0.00562129
0.570897, 6, 2.82843, 0.00707364
0.583732, 4, 2.44949, 0.00867589
0.596568, 3, 2.23607, 0.0103974
0.609404, 7, 3, 0.0122507
0.62224, 3, 2.23607, 0.0141823
0.635076, 6, 2.82843, 0.016216
0.647911, 3, 2.23607, 0.0183237
0.660747, 4, 2.44949, 0.0205274
0.673583, 2, 2, 0.0228158
0.686419, 2, 2, 0.0252039
0.699255, 5, 2.64575, 0.0275823
0.71209, 5, 2.64575, 0.0300007
0.724926, 2, 2, 0.0324223
0.737762, 3, 2.23607, 0.0348866
0.750598, 1, 1.73205, 0.0374148
0.763434, 2, 2, 0.0399589
0.77627, 5, 2.64575, 0.0425492
0.789105, 2, 2, 0.0451068
0.801941, 1, 1.73205, 0.0476805
0.814777, 4, 2.44949, 0.0503256
0.827613, 1, 1.73205, 0.0530653
0.840449, 2, 2, 0.0557826
0.853284, 2, 2, 0.0585315
0.86612, 4, 2.44949, 0.061328
0.878956, 4, 2.44949, 0.0639432
0.891792, 3, 2.23607, 0.0664874
0.904628, 3, 2.23607, 0.0690172
0.917464, 1, 1.73205, 0.071546
0.930299, 1, 1.73205, 0.0740957
0.943135, 2, 2, 0.0764906
0.955971, 3, 2.23607, 0.0788222
0.968807, 4, 2.44949, 0.0811889
0.981643, 1, 1.73205, 0.0836948
0.994479, 2, 2, 0.0861025
1.00731, 2, 2, 0.0884952
1.02015, 1, 1.73205, 0.0908958
1.03299, 0, 1.41421, 0.0930225
1.04582, 0, 1.41421, 0.0950193
1.05866, 2, 2, 0.0969593
1.07149, 1, 1.73205, 0.0988624
1.08433, 0, 1.41421, 0.100756
1.09716, 1, 1.73205, 0.102417
1.11, 1, 1.73205, 0.103965
1.12284, 1, 1.73205, 0.105525
1.13567, 1, 1.73205, 0.107234
1.14851, 1, 1.73205, 0.108782
1.16134, 2, 2, 0.11034
1.17418, 1, 1.73205, 0.111959
1.18702, 3, 2.23607, 0.113167
1.19985, 1, 1.73205, 0.114169
1.21269, 2, 2, 0.115069
1.22552, 2, 2, 0.115919
1.23836, 1, 1.73205, 0.116773
1.25119, 0, 1.41421, 0.1174
1.26403, 3, 2.23607, 0.117846
1.27687, 2, 2, 0.118294
1.2897, 1, 1.73205, 0.118976
1.30254, 1, 1.73205, 0.1194
1.31537, 0, 1.41421, 0.119824
1.32821, 1, 1.73205, 0.120423
1.34105, 1, 1.73205, 0.12063
1.35388, 1, 1.73205, 0.120641
1.36672, 0, 1.41421, 0.120425
1.37955, 1, 1.73205, 0.120095
1.39239, 1, 1.73205, 0.119766
1.40522, 1, 1.73205, 0.119443
1.41806, 3, 2.23607, 0.118809
1.4309, 2, 2, 0.118178
1.44373, 1, 1.73205, 0.117912
1.45657, 3, 2.23607, 0.117255
1.4694, 2, 2, 0.1166
1.48224, 2, 2, 0.116295
1.49508, 2, 2, 0.115663
1.50791, 0, 1.41421, 0.114909
1.52075, 1, 1.73205, 0.113753
1.53358, 0, 1.41421, 0.1124
1.54642, 1, 1.73205, 0.111056
1.55925, 0, 1.41421, 0.110064
1.57209, 1, 1.73205, 0.108602
1.58493, 0, 1.41421, 0.107149
1.59776, 0, 1.41421, 0.10623
1.6106, 1, 1.73205, 0.104766
1.62343, 0, 1.41421, 0.103313
1.63627, 1, 1.73205, 0.102416
1.64911, 2, 2, 0.100976
1.66194, 1, 1.73205, 0.0995458
1.67478, 1, 1.73205, 0.098082
1.68761, 0, 1.41421, 0.0961911
