FC 97B Flint clay Std Ref.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 0
0.46821, 0, 1.41421, 0
0.481046, 0, 1.41421, 3.55893e-005
0.493882, 0, 1.41421, 0.000133747
0.506717, 2, 2, 0.000271347
0.519553, 2, 2, 0.000442453
0.532389, 3, 2.23607, 0.000655182
0.545225, 8, 3.16228, 0.000899755
0.558061, 4, 2.44949, 0.00116932
0.570897, 3, 2.23607, 0.00147416
0.583732, 7, 3, 0.00183134
0.596568, 3, 2.23607, 0.0022084
0.609404, 4, 2.44949, 0.00262073
0.62224, 2, 2, 0.00304725
0.635076, 1, 1.73205, 0.00348221
0.647911, 0, 1.41421, 0.00394619
0.660747, 6, 2.82843, 0.00449211
0.673583, 8, 3.16228, 0.00500327
0.686419, 2, 2, 0.00554196
0.699255, 1, 1.73205, 0.00620492
0.71209, 4, 2.44949, 0.00679316
0.724926, 2, 2, 0.00740804
0.737762, 9, 3.31662, 0.00819376
0.750598, 0, 1.41421, 0.00885622
0.763434, 2, 2, 0.00954443
0.77627, 3, 2.23607, 0.0103515
0.789105, 0, 1.41421, 0.0110135
0.801941, 0, 1.41421, 0.0116961
0.814777, 4, 2.44949, 0.0126289
0.827613, 2, 2, 0.013338
0.840449, 0, 1.41421, 0.0140664
0.853284, 1, 1.73205, 0.0151147
0.86612, 4, 2.44949, 0.0158755
0.878956, 1, 1.73205, 0.0166551
0.891792, 0, 1.41421, 0.0178235
0.904628, 1, 1.73205, 0.018634
0.917464, 1, 1.73205, 0.0194624
0.930299, 0, 1.41421, 0.0206384
0.943135, 2, 2, 0.0214245
0.955971, 2, 2, 0.0222252
0.968807, 0, 1.41421, 0.0235246
0.981643, 1, 1.73205, 0.024341
0.994479, 0, 1.41421, 0.0251714
1.00731, 0, 1.41421, 0.0265816
1.02015, 1, 1.73205, 0.0274345
1.03299, 0, 1.41421, 0.0283008
1.04582, 2, 2, 0.0298253
1.05866, 3, 2.23607, 0.0307129
1.07149, 1, 1.73205, 0.0316135
1.08433, 3, 2.23607, 0.0331744
1.09716, 5, 2.64575, 0.0340539
1.11, 0, 1.41421, 0.034945
1.12284, 0, 1.41421, 0.0366174
1.13567, 2, 2, 0.0375248
1.14851, 1, 1.73205, 0.0384433
1.16134, 1, 1.73205, 0.0402194
1.17418, 2, 2, 0.0411585
1.18702, 3, 2.23607, 0.0421085
1.19985, 1, 1.73205, 0.0439904
1.21269, 1, 1.73205, 0.0449601
1.22552, 0, 1.41421, 0.0459405
1.23836, 0, 1.41421, 0.0479146
1.25119, 1, 1.73205, 0.0489217
1.26403, 1, 1.73205, 0.0499393
1.27687, 2, 2, 0.0519812
1.2897, 1, 1.73205, 0.0530378
1.30254, 2, 2, 0.0541051
1.31537, 2, 2, 0.0562086
1.32821, 0, 1.41421, 0.0573177
1.34105, 1, 1.73205, 0.0584376
1.35388, 1, 1.73205, 0.060623
1.36672, 0, 1.41421, 0.0617746
1.37955, 0, 1.41421, 0.0629371
1.39239, 0, 1.41421, 0.0677473
1.40522, 0, 1.41421, 0.071919
1.41806, 1, 1.73205, 0.0762154
1.4309, 0, 1.41421, 0.0813891
1.44373, 3, 2.23607, 0.0860125
1.45657, 2, 2, 0.0907637
1.4694, 1, 1.73205, 0.0962812
1.48224, 3, 2.23607, 0.101366
1.49508, 3, 2.23607, 0.106582
1.50791, 0, 1.41421, 0.112385
1.52075, 1, 1.73205, 0.11796
1.53358, 1, 1.73205, 0.12367
1.54642, 2, 2, 0.1294
1.55925, 2, 2, 0.13496
1.57209, 1, 1.73205, 0.140637
1.58493, 0, 1.41421, 0.146326
1.59776, 0, 1.41421, 0.151904
1.6106, 0, 1.41421, 0.157178
1.62343, 2, 2, 0.162291
1.63627, 1, 1.73205, 0.166988
1.64911, 2, 2, 0.17132
1.66194, 0, 1.41421, 0.175367
1.67478, 0, 1.41421, 0.178755
