PC 98B Plastic Cllay Std Ref.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 0
0.46821, 0, 1.41421, 8.22262e-005
0.481046, 0, 1.41421, 0.000314125
0.493882, 0, 1.41421, 0.000695865
0.506717, 5, 2.64575, 0.0012565
0.519553, 7, 3, 0.00194506
0.532389, 7, 3, 0.00278346
0.545225, 3, 2.23607, 0.0038225
0.558061, 2, 2, 0.00496772
0.570897, 3, 2.23607, 0.00626278
0.583732, 3, 2.23607, 0.00777458
0.596568, 5, 2.64575, 0.00937901
0.609404, 2, 2, 0.0111231
0.62224, 4, 2.44949, 0.0129121
0.635076, 1, 1.73205, 0.0147791
0.647911, 2, 2, 0.0167722
0.660747, 4, 2.44949, 0.0190203
0.673583, 3, 2.23607, 0.0212302
0.686419, 2, 2, 0.0235616
0.699255, 6, 2.82843, 0.0262511
0.71209, 4, 2.44949, 0.0288168
0.724926, 1, 1.73205, 0.0315021
0.737762, 1, 1.73205, 0.0346085
0.750598, 1, 1.73205, 0.0375415
0.763434, 4, 2.44949, 0.0405938
0.77627, 2, 2, 0.0436883
0.789105, 3, 2.23607, 0.0466135
0.801941, 0, 1.41421, 0.0496334
0.814777, 2, 2, 0.0531595
0.827613, 5, 2.64575, 0.0563245
0.840449, 3, 2.23607, 0.059581
0.853284, 3, 2.23607, 0.0634747
0.86612, 2, 2, 0.0669103
0.878956, 7, 3, 0.0704365
0.891792, 0, 1.41421, 0.0746559
0.904628, 1, 1.73205, 0.0783826
0.917464, 4, 2.44949, 0.0822
0.930299, 1, 1.73205, 0.0862056
0.943135, 1, 1.73205, 0.0897413
0.955971, 0, 1.41421, 0.0933481
0.968807, 1, 1.73205, 0.0977526
0.981643, 1, 1.73205, 0.101445
0.994479, 0, 1.41421, 0.105205
1.00731, 1, 1.73205, 0.109922
1.02015, 1, 1.73205, 0.113813
1.03299, 2, 2, 0.11777
1.04582, 2, 2, 0.122758
1.05866, 1, 1.73205, 0.126867
1.07149, 2, 2, 0.131044
1.08433, 1, 1.73205, 0.135747
1.09716, 1, 1.73205, 0.139597
1.11, 3, 2.23607, 0.1435
1.12284, 1, 1.73205, 0.148561
1.13567, 3, 2.23607, 0.152515
1.14851, 1, 1.73205, 0.156522
1.16134, 1, 1.73205, 0.161851
1.17418, 1, 1.73205, 0.165954
1.18702, 1, 1.73205, 0.170108
1.19985, 2, 2, 0.175674
1.21269, 1, 1.73205, 0.179942
1.22552, 2, 2, 0.184261
1.23836, 2, 2, 0.189598
1.25119, 2, 2, 0.193648
1.26403, 1, 1.73205, 0.197741
1.27687, 2, 2, 0.203386
1.2897, 0, 1.41421, 0.20752
1.30254, 1, 1.73205, 0.211697
1.31537, 5, 2.64575, 0.217577
1.32821, 4, 2.44949, 0.221832
1.34105, 1, 1.73205, 0.226128
1.35388, 1, 1.73205, 0.232174
1.36672, 2, 2, 0.236584
1.37955, 1, 1.73205, 0.241036
1.39239, 1, 1.73205, 0.247018
1.40522, 3, 2.23607, 0.251348
1.41806, 0, 1.41421, 0.255716
1.4309, 0, 1.41421, 0.261898
1.44373, 1, 1.73205, 0.266346
1.45657, 4, 2.44949, 0.270831
1.4694, 2, 2, 0.277161
1.48224, 1, 1.73205, 0.281751
1.49508, 2, 2, 0.286379
1.50791, 0, 1.41421, 0.292856
1.52075, 0, 1.41421, 0.29759
1.53358, 1, 1.73205, 0.302361
1.54642, 0, 1.41421, 0.308984
1.55925, 2, 2, 0.313861
1.57209, 1, 1.73205, 0.318777
1.58493, 1, 1.73205, 0.325543
1.59776, 3, 2.23607, 0.330566
1.6106, 4, 2.44949, 0.335627
1.62343, 1, 1.73205, 0.342522
1.63627, 1, 1.73205, 0.347697
1.64911, 0, 1.41421, 0.352911
1.66194, 1, 1.73205, 0.359981
1.67478, 0, 1.41421, 0.365286
1.68761, 0, 1.41421, 0.370629
