SRM2709A_CoolX_ElamLab_Apr2016.csv
Energy (keV), counts, sigma, bkg
-0.032387, 0, 1.41421, 0
-0.0195511, 0, 1.41421, 0
-0.00671532, 0, 1.41421, 0
0.0061205, 0, 1.41421, 0
0.0189563, 0, 1.41421, 0
0.0317921, 0, 1.41421, 0
0.044628, 0, 1.41421, 0
0.0574638, 0, 1.41421, 0
0.0702996, 0, 1.41421, 0
0.0831354, 0, 1.41421, 0
0.0959712, 0, 1.41421, 0
0.108807, 0, 1.41421, 0
0.121643, 0, 1.41421, 0
0.134479, 0, 1.41421, 0
0.147315, 0, 1.41421, 0
0.16015, 0, 1.41421, 0
0.172986, 0, 1.41421, 0
0.185822, 0, 1.41421, 0
0.198658, 0, 1.41421, 0
0.211494, 0, 1.41421, 0
0.224329, 0, 1.41421, 0
0.237165, 0, 1.41421, 0
0.250001, 0, 1.41421, 0
0.262837, 0, 1.41421, 0
0.275673, 0, 1.41421, 0
0.288508, 0, 1.41421, 0
0.301344, 0, 1.41421, 0
0.31418, 0, 1.41421, 0
0.327016, 0, 1.41421, 0
0.339852, 0, 1.41421, 0
0.352688, 0, 1.41421, 0
0.365523, 0, 1.41421, 0
0.378359, 0, 1.41421, 0
0.391195, 0, 1.41421, 0
0.404031, 0, 1.41421, 0
0.416867, 0, 1.41421, 0
0.429703, 0, 1.41421, 0
0.442538, 0, 1.41421, 0
0.455374, 0, 1.41421, 8.74682e-005
0.46821, 0, 1.41421, 0.00033415
0.481046, 0, 1.41421, 0.000740227
0.493882, 0, 1.41421, 0.0013366
0.506717, 4, 2.44949, 0.00206906
0.519553, 3, 2.23607, 0.00296091
0.532389, 2, 2, 0.00406619
0.545225, 4, 2.44949, 0.00528442
0.558061, 0, 1.41421, 0.00666204
0.570897, 5, 2.64575, 0.00827623
0.583732, 3, 2.23607, 0.00998023
0.596568, 2, 2, 0.0118436
0.609404, 3, 2.23607, 0.0138567
0.62224, 1, 1.73205, 0.0159347
0.635076, 2, 2, 0.0181578
0.647911, 3, 2.23607, 0.0206821
0.660747, 1, 1.73205, 0.023178
0.673583, 2, 2, 0.025816
0.686419, 1, 1.73205, 0.0288424
0.699255, 3, 2.23607, 0.03176
0.71209, 2, 2, 0.0348181
0.724926, 2, 2, 0.0383441
0.737762, 2, 2, 0.0416844
0.750598, 2, 2, 0.0451642
0.763434, 2, 2, 0.0489548
0.77627, 1, 1.73205, 0.0525359
0.789105, 7, 3, 0.0562433
0.801941, 1, 1.73205, 0.0605277
0.814777, 2, 2, 0.0644699
0.827613, 4, 2.44949, 0.0685365
0.840449, 2, 2, 0.0732839
0.853284, 0, 1.41421, 0.077602
0.86612, 1, 1.73205, 0.0820437
0.878956, 1, 1.73205, 0.0872471
0.891792, 4, 2.44949, 0.0919445
0.904628, 3, 2.23607, 0.096765
0.917464, 3, 2.23607, 0.102178
0.930299, 1, 1.73205, 0.107059
0.943135, 4, 2.44949, 0.112054
0.955971, 5, 2.64575, 0.117943
0.968807, 3, 2.23607, 0.123148
0.981643, 1, 1.73205, 0.128465
0.994479, 2, 2, 0.134794
1.00731, 1, 1.73205, 0.140339
1.02015, 1, 1.73205, 0.145996
1.03299, 3, 2.23607, 0.152768
1.04582, 4, 2.44949, 0.158653
1.05866, 5, 2.64575, 0.164649
1.07149, 1, 1.73205, 0.171686
1.08433, 0, 1.41421, 0.177794
1.09716, 1, 1.73205, 0.184008
1.11, 5, 2.64575, 0.191495
1.12284, 0, 1.41421, 0.197917
1.13567, 2, 2, 0.204444
1.14851, 2, 2, 0.212358
1.16134, 3, 2.23607, 0.219104
1.17418, 3, 2.23607, 0.225956
1.18702, 3, 2.23607, 0.234299
1.19985, 2, 2, 0.241368
1.21269, 0, 1.41421, 0.248543
1.22552, 1, 1.73205, 0.257305
1.23836, 2, 2, 0.264703
1.25119, 2, 2, 0.272206
1.26403, 3, 2.23607, 0.281388
1.27687, 3, 2.23607, 0.289114
1.2897, 4, 2.44949, 0.296945
1.30254, 1, 1.73205, 0.306548
1.31537, 1, 1.73205, 0.314602
1.32821, 1, 1.73205, 0.32276
1.34105, 1, 1.73205, 0.332786
1.35388, 1, 1.73205, 0.341166
1.36672, 0, 1.41421, 0.34965
1.37955, 0, 1.41421, 0.360461
1.39239, 1, 1.73205, 0.369605
1.40522, 1, 1.73205, 0.378864
1.41806, 1, 1.73205, 0.390094
1.4309, 2, 2, 0.399615
1.44373, 2, 2, 0.40925
1.45657, 0, 1.41421, 0.420897
1.4694, 1, 1.73205, 0.430795
1.48224, 5, 2.64575, 0.440809
1.49508, 3, 2.23607, 0.452805
1.50791, 5, 2.64575, 0.463114
1.52075, 3, 2.23607, 0.473539
1.53358, 6, 2.82843, 0.485151
1.54642, 0, 1.41421, 0.495131
1.55925, 3, 2.23607, 0.505212
1.57209, 1, 1.73205, 0.517368
1.58493, 3, 2.23607, 0.52759
1.59776, 1, 1.73205, 0.537912
1.6106, 3, 2.23607, 0.550427
1.62343, 1, 1.73205, 0.560981
1.63627, 0, 1.41421, 0.571636
1.64911, 3, 2.23607, 0.584417
1.66194, 0, 1.41421, 0.595351
1.67478, 4, 2.44949, 0.606386
1.68761, 1, 1.73205, 0.618509
